Error in the amounts of search,Error in the amounts of search
The type of operation requested does not exist,The type of operation requested does not exist
Sort Order unrecognized,Sort Order unrecognized
Invalid PAYTPV_OPERATIONS_SORTORDER,Invalid PAYTPV_OPERATIONS_SORTORDER
Subscription start date wrong,Subscription start date wrong
Subscription end date wrong,Subscription end date wrong
Error in the periodicity of the subscription,Error in the periodicity of the subscription
Invalid usuarioXML ,Invalid usuarioXML 
Invalid codigoCliente,Invalid codigoCliente
Invalid usuarios parameter,Invalid usuarios parameter
Invalid firma parameter,Invalid firma parameter
Invalid usuarios parameter format,Invalid usuarios parameter format
Invalid type,Invalid type
Invalid name,Invalid name
Invalid surname,Invalid surname
Invalid email,Invalid email
Invalid password,Invalid password
Invalid language,Invalid language
Invalid maxamount ,Invalid maxamount 
Invalid multicurrency,Invalid multicurrency
Invalid permissions_specs. Format not allowed,Invalid permissions_specs. Format not allowed
Invalid permissions_products. Format not allowed,Invalid permissions_products. Format not allowed
Invalid email. Format not allowed,Invalid email. Format not allowed
Weak or invalid password,Weak or invalid password
Invalid value for type parameter,Invalid value for type parameter
Invalid value for language parameter,Invalid value for language parameter
Invalid format for maxamount parameter,Invalid format for maxamount parameter
Invalid multicurrency. Format not allowed,Invalid multicurrency. Format not allowed
Invalid permission_id – permissions_specs. Not allowed,Invalid permission_id – permissions_specs. Not allowed
Invalid user,Invalid user
Invalid credentials,Invalid credentials
Account not found,Account not found
User not found,User not found
Invalid signature,Invalid signature
Account without products,Account without products
Invalid product_id - permissions_products. Not allowed,Invalid product_id - permissions_products. Not allowed
Invalid permission_id -permissions_products. Not allowed,Invalid permission_id -permissions_products. Not allowed
Minimun limit not allowed,Minimun limit not allowed
Maximun limit not allowed,Maximun limit not allowed
Daily limit not allowed,Daily limit not allowed
Monthly limit not allowed,Monthly limit not allowed
Max amount (same card / last 24 h.) not allowed,Max amount (same card / last 24 h.) not allowed
Max amount (same card / last 24 h. / same IP address) not allowed,Max amount (same card / last 24 h. / same IP address) not allowed
Day / IP address limit (all cards) not allowed,Day / IP address limit (all cards) not allowed
Country (merchant IP address) not allowed,Country (merchant IP address) not allowed
Card type (credit / debit) not allowed,Card type (credit / debit) not allowed
Card brand not allowed,Card brand not allowed
Card Category not allowed,Card Category not allowed
"Authorization from different country than card issuer, not allowed","Authorization from different country than card issuer, not allowed"
Denied. Filter: Card country issuer not allowed,Denied. Filter: Card country issuer not allowed
"Denied. Filter: same card, different country last 48 h.","Denied. Filter: same card, different country last 48 h."
Number of erroneous consecutive attempts with the same card exceeded,Number of erroneous consecutive attempts with the same card exceeded
Number of failed attempts (last 30 minutes) from the same ip address exceeded,Number of failed attempts (last 30 minutes) from the same ip address exceeded
Wrong or not configured PayPal credentials,Wrong or not configured PayPal credentials
Incorrect token received,Incorrect token received
Can not perform the operation,Can not perform the operation
providerID not available,providerID not available
operations parameter missing or not in a correct format,operations parameter missing or not in a correct format
paytpvMerchant parameter missing,paytpvMerchant parameter missing
merchatID parameter missing,merchatID parameter missing
terminalID parameter missing,terminalID parameter missing
tpvID parameter missing,tpvID parameter missing
operationType parameter missing,operationType parameter missing
operationResult parameter missing,operationResult parameter missing
operationAmount parameter missing,operationAmount parameter missing
operationCurrency parameter missing,operationCurrency parameter missing
operationDatetime parameter missing,operationDatetime parameter missing
originalAmount parameter missing,originalAmount parameter missing
pan parameter missing,pan parameter missing
expiryDate parameter missing,expiryDate parameter missing
reference parameter missing,reference parameter missing
signature parameter missing,signature parameter missing
originalIP parameter missing or not in a correct format,originalIP parameter missing or not in a correct format
authcode / errorCode parameter missing,authcode / errorCode parameter missing
Product of the operation missing,Product of the operation missing
The type of operation is not supported,The type of operation is not supported
The result of the operation is not supported,The result of the operation is not supported
The transaction currency is not supported,The transaction currency is not supported
The date of the transaction is not in a correct format,The date of the transaction is not in a correct format
The signature is not correct,The signature is not correct
Can not find the associated account information,Can not find the associated account information
Can not find the associated product information,Can not find the associated product information
Can not find the associated user information,Can not find the associated user information
The product is not set as multicurrency,The product is not set as multicurrency
The amount of the transaction is not in a correct format,The amount of the transaction is not in a correct format
The original amount of the transaction is not in a correct format,The original amount of the transaction is not in a correct format
The card does not have the correct format,The card does not have the correct format
The expiry date of the card is not in a correct format,The expiry date of the card is not in a correct format
Can not initialize the service,Can not initialize the service
Method not implemented,Method not implemented
Service can not be completed,Service can not be completed
operationCode parameter missing,operationCode parameter missing
bankName parameter missing,bankName parameter missing
csb parameter missing,csb parameter missing
userReference parameter missing,userReference parameter missing
Can not find the associated FUC,Can not find the associated FUC
Missing Credit Card information,Missing Credit Card information
TPV WEB,TPV WEB
BANK STORE,BANK STORE
OFFSITE,OFFSITE
IFRAME,IFRAME
"Use stored one","Utilizar mi tarjeta almacenada"
"You have already %s credit card stored in you account<br/>press continue to use it or&hellip;","La tarjeta terminada en %s está rgistrada en su cuenta.<br/>Pulse en CONTINUAR para utilizarla en esta compra o haz click para "
"Remember this information for next purchase","Remember this information for next purchase"
"use another","usar otra"
STREAMLINE YOUR FUTURE PURCHASES!,STREAMLINE YOUR FUTURE PURCHASES!
Link a card to your account to make all procedures easily and quickly.,Link a card to your account to make all procedures easily and quickly.
When you link a Tarjet accepts ,When you link a Tarjet accepts 
terms and conditions of service,terms and conditions of service
Link card,Link card
Available Cards,Available Cards
My Cards,My Cards
Pay by Credit Card,Pay by Credit Card
For security, enter your user password Store,For security, enter your user password Store
NEW CARD,NEW CARD
Remove Card,Remove Card
"Yes, remember my card accepting ","Yes, remember my card accepting "
"The first purchase when ordering shall carry out, and the following is defined as the frequency subscription","The first purchase when ordering shall carry out, and the following is defined as the frequency subscription"
"By subscribing you agree to the ","By subscribing you agree to the "
"You will be redirected to your bank for secure payment. Wait a moment, please ...","You will be redirected to your bank for secure payment. Wait a moment, please ...
There is still no card associated.,There is still no card associated.
BE REDIRECTED PAYMENT GATEWAY TO THE FINAL STEP IN THE CHECKOUT,BE REDIRECTED PAYMENT GATEWAY TO THE FINAL STEP IN THE CHECKOUT
"The input data is stored on servers in PAYCOMET company with PCI / DSS Level 1 certification, making payments 100% secure.","The input data is stored on servers in PAYCOMET company with PCI / DSS Level 1 certification, making payments 100% secure."
You must accept the terms and conditions of service,You must accept the terms and conditions of service
Yes,Yes
Accept,Accept
Cancel,Cancel
"Secure Terminal: all purchases with 3D Secure. No Secure Terminal: all purchases without 3D Secure.","Terminal Seguro: todas las compras con 3D Secure. Terminal No Seguro: todas las compras sin 3D Secure."
Payment method position,Payment method position
Transaction type,Transaction type
Sale (Authorize + Capture),Sale (Authorize + Capture)
Pre-Authorization,Pre-Authorization
Send Invoice Mail,Send Invoice Mail
Send invoice mail automatically to the customer when invoice is created,Send invoice mail automatically to the customer when invoice is created
Save Description,Save Description
Description saved,Description saved
add description,add description
Operation call,Operation call
Get CardBrand and BicCode,Get CardBrand and BicCode
Environment,Environment
Real Mode,Real Mode
Test Mode,Test Mode
"Test Mode Credit Cards (MASTERCARD): 5325298401138208 / 5392661198415436 / 5534958931200656.<br>Expiration Date: Month: 5 / Year: 2020<br>CVC2: 123 / 3DSecure: 1234","Test Mode Credit Cards (MASTERCARD): 5325298401138208 / 5392661198415436 / 5534958931200656.<br>Expiration Date: Month: 5 / Year: 2020<br>CVC2: 123 / 3DSecure: 1234"
Test mode does not support returns orders placed in Real Mode,Test mode does not support returns orders placed in Real Mode
Test Card is invalid,Test Card is invalid
Test mode does not support confirm preathorize orders placed in Real Mode,Test mode does not support confirm preathorize orders placed in Real Mode
Test mode does not support cancel suscription placed in Real Mode,Test mode does not support cancel suscription placed in Real Mode
Currency Accepted,Currency Accepted
Payment New Page (PAYCOMET Iframe / Jet),Payment New Page (PAYCOMET Iframe / JET)
Scoring Configuration,Scoring Configuration
Send Merchant Data,Send Merchant Data
Active,Active
First Purchase,First Purchase
Complete Session Time,Complete Session Time
Time (minutes),Time (minutes)
Critical Product | Critical Product Destination Country,Critical Product | Critical Product Destination Country
Critical Product,Critical Product
Products,Products
Critical Product Destination Country,Critical Product Destination Country
Destination,Destination
Destination Country,Destination Country
Countries,Countries
IP Change,IP Change
Browser Unidentified,Browser Unidentified
Operating System Unidentified,Operating System Unidentified
Expiration,Expiration
The CVV is a numerical code, usually 3 digits behind the card,The CVV is a numerical code, usually 3 digits behind the card
Make Payment,Make Payment
Credit Card Operation,Credit Card Operation
Enter your card,Enter your card
Total Amount,Total Amount
Remember Card (Selected),Remember Card (Selected)
"<b>Attention: This environment does not make calls to PAYCOMET systems. If you have Sandbox account in PAYCOMET use Real Mode</b><br/>","<b>Attention: This environment does not make calls to PAYCOMET systems. If you have Sandbox account in PAYCOMET use Real Mode</b><br/>"
Iframe PAYCOMET - Height,Iframe PAYCOMET - Height
